#collabs,AVG. WAITING TIME PER COLLAB (Turn),AVG. WAITING TIME PER COLLAB (Strict Mod L),AVG. WAITING TIME PER COLLAB (attr L),TOTAL WORKFLOW DESIGN TIME (turn),TOTAL WORKFLOW DESIGN TIME (strict M. L.),TOTAL WORKFLOW DESIGN TIME (attr L),AVG. UPDATES PER MIN (turn),AVG. UPDATES PER MIN (strict M L),AVG. UPDATES PER MIN (attr),EFFICEINCY (turn),EFFICEINCY (strict M L),EFFICEINCY (attr)
1,0,0,0,201,296,729,7761.1940298508,2635.1351351351,1069.9588477366,31044.776119403,10540.5405405405,4279.8353909465
2,58.5,2,2.5,255,199,200,9176.4705882353,7839.1959798995,7800,18352.9411764706,15678.391959799,15600
3,114.3333333333,8,32,307,199,281,10162.8664495114,11758.7939698492,8327.4021352313,13550.4885993485,15678.391959799,11103.2028469751
4,168.75,33.75,63.5,366,232,360,10655.737704918,13448.275862069,8666.6666666667,10655.737704918,13448.275862069,8666.6666666667
5,226.6,30.8,43.8,425,266,262,11011.7647058824,14661.6541353383,14885.4961832061,8809.4117647059,11729.3233082707,11908.3969465649
6,284.6666666667,52.3333333333,37,485,287,273,11257.7319587629,16306.6202090592,17142.8571428571,7505.1546391753,10871.0801393728,11428.5714285714
7,350.4285714286,168.2857142857,97.5714285714,559,571,368,11162.7906976744,9562.1716287215,14836.9565217391,6378.7375415282,5464.0980735552,8478.2608695652
8,452.625,100.75,56.75,683,439,335,10278.1844802343,14214.1230068337,18626.8656716418,5139.0922401171,7107.0615034169,9313.4328358209
9,558,129.5555555556,54.6666666667,805,416,406,9689.4409937888,16875,17290.6403940887,4306.4182194617,7500,7684.7290640394
10,673.5,80.1,76.6,943,398,369,9098.6214209968,19597.9899497487,21138.2113821138,3639.4485683987,7839.1959798995,8455.2845528455
11,860.5454545455,134.8181818182,93,1173,447,412,7979.5396419437,19194.6308724832,20825.2427184466,2901.6507788886,6979.8657718121,7572.8155339806
12,761.4166666667,136.0833333333,103.0833333333,1022,528,482,9921.7221135029,17727.2727272727,19419.0871369295,3307.240704501,5909.0909090909,6473.0290456432
13,1108.3846153846,238.0769230769,99.0769230769,1438,636,477,7593.8803894298,15943.3962264151,21257.8616352201,2336.578581363,4905.6603773585,6540.8805031447
14,1024.8571428571,264.7857142857,94,1355,631,463,8634.6863468635,17305.8637083994,23585.313174946,2467.053241961,4944.5324881141,6738.6609071274
15,1557.0666666667,252.4,153.8666666667,1951,730,555,6396.7196309585,16027.397260274,21081.0810810811,1705.7919015889,4273.9726027397,5621.6216216216
16,1805.8125,240.5625,129.25,2288,708,603,5795.4545454546,17627.1186440678,20696.5174129353,1448.8636363636,4406.779661017,5174.1293532338
17,2103.4117647059,407.3529411765,158.1176470588,2582,1044,710,5437.645236251,12701.1494252874,18676.0563380282,1279.4459379414,2988.5057471264,4394.3661971831
18,2495.5555555556,433.6111111111,165.7777777778,3033,1090,697,4886.2512363996,12880.7339449541,20143.4720229555,1085.8336080888,2862.3853211009,4476.3271162123
