#collabs,AVG. WAITING TIME PER COLLAB,AVG. WAITING TIME PER COLLAB,TOTAL WORKFLOW DESIGN TIME,TOTAL WORKFLOW DESIGN TIME,AVG. UPDATES PER MIN,AVG. UPDATES PER MIN,EFFICEINCY,EFFICEINCY
1,0,0,385,365,2025.974025974,1989.7959183674,8103.8961038961,7959.1836734694
2,0,2,197,200,7918.7817258883,7722.7722772277,15837.5634517766,15445.5445544554
3,0,1.3333333333,192,198,12187.5,9957.4468085106,16250,13276.5957446809
4,0,5,223,232,13991.0313901345,15837.5634517767,13991.0313901345,15837.5634517766
5,0,2.6,188,201,20744.6808510638,16250,16595.7446808511,13000
6,0,2.3333333333,226,355,20707.9646017699,24248.7046632124,13805.3097345133,16165.8031088083
7,0,2.5714285714,189,239,28888.8888888889,27575.7575757576,16507.9365079365,15757.5757575758
8,0,3.625,222,298,28108.1081081081,25263.1578947368,14054.0540540541,12631.5789473684
9,0,4.7777777778,319,238,22006.2695924765,29008.2644628099,9780.5642633229,12892.5619834711
10,0,10.7,356,275,21910.1123595506,30708.6614173228,8764.0449438202,12283.4645669291
11,0,4.9090909091,321,409,26728.9719626168,37467.2489082969,9719.6261682243,13624.4541484716
12,0,6.3333333333,385,386,24311.6883116883,32842.1052631579,8103.8961038961,10947.3684210526
13,25.7692307692,13.2307692308,500,455,20280,36344.0860215054,6240,11182.7956989247
14,27.0714285714,30.7142857143,538,334,20297.3977695167,23037.9746835443,5799.2565055762,6582.2784810127
15,22.3333333333,39.6666666667,504,375,23214.2857142857,23260.4373757455,6190.4761904762,6202.7833001988
16,23.125,33.6875,528,528,23636.3636363636,23327.1028037383,5909.0909090909,5831.7757009346
17,22.7647058824,58.9411764706,540,570,24555.5555555556,18888.8888888889,5777.7777777778,4444.4444444445
18,22.7222222222,66.7777777778,563,595,24937.8330373002,17638.1909547739,5541.7406749556,3919.5979899498
19,31.8421052632,58.9473684211,774,670,19147.2868217054,22976.7441860465,4031.007751938,4837.2093023256
20,34.1,86,692,806,22543.3526011561,17371.9376391982,4508.6705202312,3474.3875278397
21,26.5238095238,72.2857142857,607,702,26985.1729818781,18220.2447163515,5140.0329489292,3470.5228031146
22,49.9090909091,68.7727272727,633,698,27109.0047393365,24271.5700141443,4928.9099526066,4413.0127298444
23,52.652173913,78.6956521739,673,729,26656.7607726597,25338.9830508475,4635.9583952452,4406.779661017
24,84.7916666667,58.2083333333,806,755,23225.8064516129,25331.5290933694,3870.9677419355,4221.9215155616
25,144.64,90.12,989,755,19716.8857431749,25390.625,3154.701718908,4062.5
26,127.3461538462,80.4230769231,1010,787,20079.2079207921,24792.1760391198,3089.1089108911,3814.1809290954
27,69.7777777778,86.8888888889,751,868,28042.6098535286,27104.2471042471,4154.4607190413,4015.444015444
28,92.5,99.2857142857,870,980,25103.4482758621,24456.8868980963,3586.2068965517,3493.8409854423
29,101,98.724137931,855,1280,26456.1403508772,26089.9653979239,3649.1228070176,3598.615916955
