#collabs,"AVG. WAITING TIME(S,2all)","AVG. WAITING TIME(A,2all)","AVG. WAITING TIME(S,3all)","AVG. WAITING TIME(A,3all)","AVG. WAITING TIME(S,4all)","AVG. WAITING TIME(A,4all)","AVG. WAITING TIME(S,2r)","AVG. WAITING TIME(A,2r)","AVG. WAITING TIME(S,3r)","AVG. WAITING TIME(A,3r)","AVG. WAITING TIME(S,4r)","AVG. WAITING TIME(A,4r)"
1,0,0,0,0,0,0,0,0,0,0,0,0
2,2.5,2.5,2,2.5,2.5,3,2.5,2.5,2.5,2.5,2.5,3
3,17.3333333333,31,58.3333333333,55.3333333333,17,25.3333333333,14.3333333333,11.3333333333,6,4.6666666667,5,14
4,49.5,9.5,43.75,3.75,70.25,2.25,30.5,33,10.5,4.25,73.25,33.5
5,57.6,37.6,65.4,13.8,40,3.4,54.8,12.6,26.4,36.6,75.6,45
6,72.6666666667,31.6666666667,84,76,33.5,15.5,64.5,32.3333333333,45.3333333333,44.6666666667,55.1666666667,25.5
7,167.1428571429,49.2857142857,90.4285714286,36.4285714286,111.8571428571,60.5714285714,87.1428571429,20.1428571429,83,40.5714285714,63.2857142857,39.1428571429
8,169.375,78.125,98.875,96.625,88.5,15.875,125.75,76.25,87.375,30.375,64.125,44.625
9,212,52.1111111111,116.7777777778,55.7777777778,115.5555555556,58.3333333333,177.5555555556,42.5555555556,73,39.1111111111,73.2222222222,82.2222222222
10,200.3,163.6,130.6,75.5,142,49.3,172.5,150.9,139.2,91.2,189.5,42.6
11,147.1818181818,151.8181818182,131.7272727273,151.7272727273,136.4545454545,132.9090909091,131.7272727273,104.8181818182,162,87.6363636364,134.8181818182,85.8181818182
12,226.4166666667,105.9166666667,208.4166666667,206.0833333333,128,80.25,115.8333333333,124,146.75,75.3333333333,114.0833333333,80.3333333333
13,312.9230769231,111.3846153846,203.7692307692,153.5384615385,145.1538461538,110,337,151.7692307692,275.6923076923,85.6923076923,139.5384615385,86.6153846154
14,268.6428571429,195.1428571429,319.8571428571,103.6428571429,149.7857142857,185,168.0714285714,139.1428571429,859.5714285714,67,280.5,111.1428571429
15,384.4666666667,211.7333333333,260.6,196.8,258.6666666667,114.6,269.0666666667,170.5333333333,343.9333333333,149.7333333333,380.3333333333,116.4
16,318.0625,195.5625,446.9375,153.5,223.875,272.875,306.4375,173,341.375,150.1875,253.625,106.8125
17,584.1764705882,456.1176470588,338.5882352941,189.6470588235,191.2352941176,122.5882352941,338.6470588235,169.6470588235,348.5294117647,144.8823529412,316,79.1764705882
18,806.5,257.3333333333,295.2222222222,280.8888888889,352.8888888889,173.8888888889,492.2222222222,215.2777777778,318.3888888889,238.3333333333,418.5,107.8888888889
19,449.6842105263,264.4736842105,480.2105263158,268.2105263158,319.3684210526,180.1578947368,422.5789473684,205.5263157895,292.6315789474,240.2631578947,338.4736842105,142.3684210526
20,563.6,475.05,469.8,281.75,510.05,381.55,643,227.25,508.8,339.75,404.75,220.7
21,664.0952380952,452.0952380952,444.8095238095,324.619047619,386.8571428571,273,710.2857142857,327.2857142857,528.0476190476,211.9047619048,390.9047619048,204.9523809524
22,1032.1818181818,459.5909090909,563.2727272727,301,617.8181818182,365.6363636364,606.1363636364,528.0909090909,401.6363636364,450.8181818182,491.5454545455,204.6363636364
23,1029.7826086957,681.652173913,1024.1304347826,319.2608695652,534.9130434783,341.8695652174,728.0434782609,315.8260869565,712.0869565217,328.9565217391,472.1739130435,310.347826087
24,925.375,661.625,929.2916666667,473.125,543.4166666667,306.25,758.6666666667,401.4583333333,918.0416666667,304.125,509.75,204.75
25,1002.48,487.8,873.44,411.52,381.92,316.92,1060.28,434.76,763.76,351.72,602.24,412.88
26,1248.5,901.5384615385,922.1153846154,404.1538461538,589.3461538462,496.4230769231,682.1153846154,496.7307692308,870.6923076923,313.0384615385,677.5384615385,304.7307692308
27,1192.5185185185,983.9259259259,731.8148148148,611.1851851852,831,545.5925925926,1044.4444444444,805.7407407407,562.1481481481,432.9259259259,804.7407407407,350.8888888889
28,1106.25,616.8571428571,877.8571428571,417.6785714286,809.0357142857,417.4642857143,996.7857142857,554.7857142857,1131.9642857143,502.5714285714,682.1785714286,328
29,1520.5517241379,958.6206896552,986.5172413793,441.6206896552,707.1379310345,309,1219.5862068966,732.8965517241,908.4827586207,458.8275862069,793.8620689655,474.6896551724
